question_id,semantic_95_source,semantic_80_source,semantic_95_length,semantic_80_length,semantic_95_sha256,semantic_80_sha256,same_source,same_text,same_store_score,same_manual_cosine
Q1,NCT00471978.txt,NCT00471978.txt,1661,1661,d4d817979f92f2294af954c5219969536938a783b33cbf3fd05c88a9583c79e7,d4d817979f92f2294af954c5219969536938a783b33cbf3fd05c88a9583c79e7,True,True,True,True
Q2,NCT07749586.txt,NCT07749586.txt,2163,2163,283deab1c3c384f424bc93fca32cfd48239e5c0b929b5eb8f854946979d79117,283deab1c3c384f424bc93fca32cfd48239e5c0b929b5eb8f854946979d79117,True,True,True,True
Q3,NCT06937203.txt,NCT06937203.txt,1084,1084,9f01302c11e6e556a19568c470e2a559ec8feb600c44098ff2fb5e5fa51fe41d,9f01302c11e6e556a19568c470e2a559ec8feb600c44098ff2fb5e5fa51fe41d,True,True,True,True
Q4,NCT07465848.txt,NCT07465848.txt,376,376,618362df4d617820494603a525087227e9ef20b9aa2f856ca7c4194fa22a9e99,618362df4d617820494603a525087227e9ef20b9aa2f856ca7c4194fa22a9e99,True,True,True,True
Q5,NCT06160921.txt,NCT06160921.txt,784,784,af651ff8b6a75fa3f4dcf51cde9aa26a97225723ba0c9f8a4afc1b54c59ae9ec,af651ff8b6a75fa3f4dcf51cde9aa26a97225723ba0c9f8a4afc1b54c59ae9ec,True,True,True,True
